Ticker,Full Name,Sector,Sub-Industry,Founding Year (YF),Founded (Wiki),Date Added,Market Cap,Pricing Power,Gross Margins (latest→older)
AMZN,Amazon,Consumer Discretionary,Broadline Retail,,1994,2005-11-18,2272052641792,37.58405449403157,"[0.48854393464156787, 0.46982088955000567, 0.43805339865326287, 0.420325144416396]"
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1996,2007-10-02,26569158656,37.563339417091186,"[0.894602293477467, 0.8774826699898746, 0.8579754864146739, 0.8229820888578739]"
LLY,Lilly (Eli),Health Care,Pharmaceuticals,,1876,1970-12-31,719702392832,37.41228959876817,"[0.8131040101947707, 0.7924575300154436, 0.7677128662223998, 0.7417650714729646]"
ORCL,Oracle Corporation,Information Technology,Application Software,,1977,1989-08-31,830464393216,36.83800988044696,"[0.7724699036568581, 0.7731538301769226, 0.7790367137766745, 0.8372997172478793]"
ED,Consolidated Edison,Utilities,Multi-Utilities,,1823,1957-03-04,36494344192,36.77918680506289,"[0.5353303618248558, 0.5050126167905613, 0.49042756860242503, 0.5606902603100322]"
EW,Edwards Lifesciences,Health Care,Health Care Equipment,,1958,2011-04-01,43821146112,36.62232134568754,"[0.7945583233753102, 0.8047105788423153, 0.8378808243727599, 0.7613186813186813]"
MLM,Martin Marietta Materials,Materials,Construction Materials,,1993,2014-07-02,37715378176,36.36213616366244,"[0.28733170134638925, 0.2985096650435296, 0.2309689985391982, 0.2490579977835242]"
EVRG,Evergy,Utilities,Electric Utilities,,1909,2018-06-05,17947512832,36.30427761810114,"[0.5286371487695175, 0.5133982063105915, 0.4582785752077964, 0.4802835305278608]"
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,,1897,2008-11-06,11233947648,36.027943034767134,"[0.4203366910761967, 0.4102241187474782, 0.3547694977254608, 0.3670754728775207]"
ON,ON Semiconductor,Information Technology,Semiconductors,,1999,2022-06-21,21483403264,35.77035647785408,"[0.5375372407268825, 0.5382164061553375, 0.5462035502390046, 0.47657200510400904]"
MMM,3M,Industrials,Industrial Conglomerates,,1902,1957-03-04,81300594688,34.60320348142383,"[0.4121261444557477, 0.3911824461600975, 0.4381372520377458, 0.4683920237590157]"
XEL,Xcel Energy,Utilities,Multi-Utilities,,1909,1957-03-04,48000151552,34.25797763818083,"[0.46715274161148723, 0.42925524426298745, 0.39196603527106466, 0.40160821979003797]"
LYB,LyondellBasell,Materials,Specialty Chemicals,,2007,2012-09-05,14856939520,34.04791013113364,"[0.11324500024812664, 0.1279100883061279, 0.13089928841846543, 0.19006778853442488]"
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,,1989 (1887),1957-03-04,88806064128,34.030733442565825,"[0.725879917184265, 0.7782517886504021, 0.7951428757122121, 0.8]"
PCG,PG&E Corporation,Utilities,Multi-Utilities,,1905,2022-10-03,36088487936,34.019790122211155,"[0.375035832753184, 0.340060586212543, 0.323570110701107, 0.2936246487743436]"
DXCM,Dexcom,Health Care,Health Care Equipment,,1999,2020-05-12,26117539840,33.82877529235999,"[0.6045623605256633, 0.6318913397565082, 0.647157880266685, 0.6863385746375332]"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,,1925,1957-03-04,246925869056,33.56067749766492,"[0.359888287120616, 0.346898300029824, 0.2946808689652851, 0.29434384257715174]"
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,,2009 (1887),2011-07-01,56082628608,33.400283535689944,"[0.06687838460652148, 0.11124215690899655, 0.12717170180273085, 0.05509947242526025]"
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,,1980,2002-12-20,49011527680,32.95736619435536,"[0.03664893248435106, 0.08903333655692636, 0.09496946984686733, 0.027040543267501337]"
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,,2002,1957-03-04,108008538112,32.60158239714132,"[0.29926020641154444, 0.3242371885075079, 0.3823604351924988, 0.3222484070873702]"
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,,2016 (1950),2018-12-03,9059305472,32.5594006012699,"[0.21679351448545253, 0.27316160554146823, 0.26765222591858856, 0.2029812876625436]"
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,,1888,2023-10-18,22622232576,32.38926964938875,"[0.33829617127120903, 0.3514117143442089, 0.2974191070959397, 0.27455234734508]"
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,,1986,2011-12-19,19670659072,32.17596372683457,"[0.35807378331484485, 0.3587190351049693, 0.3751289621386627, 0.2939569624485206]"
PODD,Insulet Corporation,Health Care,Health Care Equipment,,2000,2023-03-15,22426357760,31.80076321117136,"[0.6978663834717127, 0.6834600200341759, 0.6171761280931587, 0.6844739716053877]"
DOW,Dow Inc.,Materials,Commodity Chemicals,,2019 (1897),2019-04-01,15516598272,31.798133694001287,"[0.16734940880737362, 0.16061583972031734, 0.1930687849284735, 0.24070368214233737]"
DECK,Deckers Brands,Consumer Discretionary,Footwear,,1973,2024-03-18,14807633920,31.719847182338835,"[0.57879814955516, 0.5563479138189308, 0.5032329956887877, 0.510278735082161]"
