2019,2018,Name,Country,2019 - USD,2018 - USD,2019,2018
1,1,Amazon,"United States",187905.15,150810.92,AAA-,AAA-
2,2,Apple,"United States",153634.28,146311.06,AAA,AAA+
3,3,Google,"United States",142754.85,120911.44,AAA,AAA+
4,4,Microsoft,"United States",119594.99,81162.91,AAA,AAA+
5,6,Facebook,"United States",83201.5,76526.39,AAA-,AAA+
6,5,Samsung,"South Korea",74908.72,77743.72,AAA,AAA+
7,8,Huawei,China,62278.16,38046,AAA-,AAA-
8,12,WeChat,China,50707.28,22415.23,AAA+,AAA
9,7,"Tencent (QQ)",China,49701.06,40774.18,AAA,AAA
10,,Taobao,China,46627.98,NaN,AAA-,
11,11,YouTube,"United States",0,0,,
12,,Tmall,China,0,NaN,,
13,9,IBM,"United States",0,0,,
14,13,Intel,"United States",0,0,,
15,18,Accenture,"United States",0,0,,
16,10,Oracle,"United States",0,0,,
17,21,"Dell Technologies","United States",0,0,,
18,20,Uber,"United States",0,0,,
19,16,Cisco,"United States",0,0,,
20,25,NETFLIX,"United States",0,0,,
21,14,Baidu,China,0,0,,
22,19,"LG Group","South Korea",0,0,,
23,,Instagram,"United States",0,NaN,,
24,17,SAP,Germany,0,0,,
25,27,Alibaba,China,0,0,,
26,24,TCS,India,0,0,,
27,43,Midea,China,0,0,,
28,23,Sony,Japan,0,0,,
29,22,NetEase,China,0,0,,
30,29,Panasonic,Japan,0,0,,
31,28,booking.com,"United States",0,0,,
32,15,JD.com,China,0,0,,
33,26,Canon,Japan,0,0,,
34,32,HP,"United States",0,0,,
35,34,Nokia,Finland,0,0,,
36,39,TSMC,China,0,0,,
37,37,eBay,"United States",0,0,,
38,33,3M,"United States",0,0,,
39,40,Cognizant,"United States",0,0,,
40,36,Adobe,"United States",0,0,,
41,55,"SK Hynix","South Korea",0,0,,
42,64,Hikvision,China,0,0,,
43,42,"Yahoo! Group",Japan,0,0,,
44,51,Broadcom,"United States",0,0,,
45,52,Airbnb,"United States",0,0,,
46,31,Philips,Netherlands,0,0,,
47,53,Salesforce,"United States",0,0,,
48,,Youku,China,0,NaN,,
49,70,Gree,China,0,0,,
50,35,HPE,"United States",0,0,,
51,44,Qualcomm,"United States",0,0,,
52,38,Nintendo,Japan,0,0,,
53,47,"Activision Blizzard","United States",0,0,,
54,45,Xiaomi,China,0,0,,
55,72,Nvidia,"United States",0,0,,
56,56,Haier,China,0,0,,
57,48,Infosys,India,0,0,,
58,50,Playstation,Japan,0,0,,
59,65,LinkedIn,"United States",0,0,,
60,68,Lenovo,China,0,0,,
61,61,Capgemini,France,0,0,,
62,57,"Thermo Fisher Scientific","United States",0,0,,
63,41,"Western Digital","United States",0,0,,
64,49,"DXC Technology","United States",0,0,,
65,66,"Emerson Electric","United States",0,0,,
66,69,"Micron Technology","United States",0,0,,
67,62,"Texas Instruments","United States",0,0,,
68,46,"Mitsubishi Electric",Japan,0,0,,
69,77,ctrip.com,China,0,0,,
70,76,VMWARE,"United States",0,0,,
71,74,"Applied Materials","United States",0,0,,
72,58,HCL,India,0,0,,
73,,iQiyi,China,0,NaN,,
74,,"Ntt Data",Japan,0,NaN,,
75,78,Sharp,Japan,0,0,,
76,80,Fiserv,"United States",0,0,,
77,67,FIS,"United States",0,0,,
78,63,"Electronic Arts","United States",0,0,,
79,75,Cerner,"United States",0,0,,
80,83,Xbox,"United States",0,0,,
81,85,Wipro,India,0,0,,
82,82,QVC,"United States",0,0,,
83,88,Weibo,China,0,0,,
84,73,Atos,France,0,0,,
85,81,Spotify,Sweden,0,0,,
86,89,Amadeus,Spain,0,0,,
87,,"Samsung SDS","South Korea",0,NaN,,
88,86,Kyocera,Japan,0,0,,
89,99,Naver,"South Korea",0,0,,
90,,Twitter,"United States",0,NaN,,
91,79,ZTE,China,0,0,,
92,,Rakuten,Japan,0,NaN,,
93,,BOE,China,0,NaN,,
94,91,ASML,Netherlands,0,0,,
95,,Murata,Japan,0,NaN,,
96,71,"Fujitsu Group",Japan,0,0,,
97,90,"Seagate Technology","United States",0,0,,
98,,Expedia.com,"United States",0,NaN,,
99,,Netapp,"United States",0,NaN,,
100,98,Nidec,Japan,0,0,,
