2021,2020,Name,Country,2021 - USD,2020 - USD,2021,2020
1,3,Apple,"United States",263374.7,140524.32,AAA,AAA
2,1,Amazon,"United States",254187.58,220790.75,AAA+,AAA
3,2,Google,"United States",191214.84,188511.64,AAA,AAA
4,4,Microsoft,"United States",140435.35,117072.01,AAA,AAA
5,5,Facebook,"United States",81476.37,79804.43,AA+,AA+
6,8,WeChat,China,67901.98,54146.08,AAA+,AAA+
7,9,Tencent,China,56432.39,44090.62,AAA,AAA+
8,7,Huawei,China,55395.83,65084.36,AAA,AAA-
9,10,Taobao,China,53335.29,36986.44,AAA,AAA-
10,12,Tmall,China,49178.92,30651.99,AAA,AAA-
11,19,Alibaba.com,China,0,0,,
12,13,Intel,"United States",0,0,,
13,11,IBM,"United States",0,0,,
14,16,Oracle,"United States",0,0,,
15,15,accenture,"United States",0,0,,
16,14,Instagram,"United States",0,0,,
17,18,Netflix,"United States",0,0,,
18,27,JD.com,China,0,0,,
19,24,Uber,"United States",0,0,,
20,17,Cisco,"United States",0,0,,
21,21,"LG Group","South Korea",0,0,,
22,20,"Dell Technologies","United States",0,0,,
23,22,SAP,Germany,0,0,,
24,23,YouTube,"United States",0,0,,
25,28,Sony,Japan,0,0,,
26,25,TCS,India,0,0,,
27,26,NetEase,China,0,0,,
28,32,Salesforce,"United States",0,0,,
29,41,TSMC,China,0,0,,
30,37,Adobe,"United States",0,0,,
31,30,Panasonic,Japan,0,0,,
32,29,Midea,China,0,0,,
33,34,Nokia,Finland,0,0,,
34,43,"Yahoo! Group",Japan,0,0,,
35,55,Xiaomi,China,0,0,,
36,35,Gree,China,0,0,,
37,38,HP,"United States",0,0,,
38,50,Infosys,India,0,0,,
39,44,eBay,"United States",0,0,,
40,45,LinkedIn,"United States",0,0,,
41,33,booking.com,"United States",0,0,,
42,36,Canon,Japan,0,0,,
43,73,Nvidia,"United States",0,0,,
44,42,Cognizant,"United States",0,0,,
45,40,3M,"United States",0,0,,
46,39,Baidu,China,0,0,,
47,68,Rakuten,Japan,0,0,,
48,51,Philips,Netherlands,0,0,,
49,,Meituan,China,0,NaN,,
50,66,VMWARE,"United States",0,0,,
51,53,Capgemini,France,0,0,,
52,47,Playstation,Japan,0,0,,
53,49,Broadcom,"United States",0,0,,
54,67,"Activision Blizzard","United States",0,0,,
55,,Pinduoduo,China,0,NaN,,
56,69,"Thermo Fisher Scientific","United States",0,0,,
57,54,Youku,China,0,0,,
58,52,Hikvision,China,0,0,,
59,48,Qualcomm,"United States",0,0,,
60,62,FIS,"United States",0,0,,
61,56,HPE,"United States",0,0,,
62,80,Spotify,Sweden,0,0,,
63,72,HCL,India,0,0,,
64,64,Nintendo,Japan,0,0,,
65,63,Xbox,"United States",0,0,,
66,65,Lenovo,China,0,0,,
67,70,"Ntt Data",Japan,0,0,,
68,79,"Applied Materials","United States",0,0,,
69,61,"Micron Technology","United States",0,0,,
70,74,"Texas Instruments","United States",0,0,,
71,89,BOE,China,0,0,,
72,81,"Electronic Arts","United States",0,0,,
73,94,Servicenow,"United States",0,0,,
74,78,Wipro,India,0,0,,
75,75,"Emerson Electric","United States",0,0,,
76,96,ASML,Netherlands,0,0,,
77,82,"Fujitsu Group",Japan,0,0,,
78,77,Fiserv,"United States",0,0,,
79,93,QVC,"United States",0,0,,
80,86,Cerner,"United States",0,0,,
81,84,"Samsung SDS","South Korea",0,0,,
82,58,"DXC Technology","United States",0,0,,
83,71,"Western Digital","United States",0,0,,
84,,Coupang,"South Korea",0,NaN,,
85,31,Airbnb,"United States",0,0,,
86,85,Atos,France,0,0,,
87,91,CDW,"United States",0,0,,
88,100,"Red Hat","United States",0,0,,
89,83,Twitter,"United States",0,0,,
