"Date","Apple","Samsung","LG","Motorola","Unknown","Google","HTC","ZTE","Huawei","Nokia","Alcatel","Xiaomi","RIM","OnePlus","Kyocera","Sony","Lenovo","Oppo","T-Mobile","Coolpad","Asus","Vivo","Realme","Micromax","Mobicel","Pantech","Sumsung","Blu","Infinix","RCA","HP","Tecno","Nintendo","Sharp","Unimax","TCL","General Mobile","AT&T","BBK","Other"
2014-01,54.48,20.4,4.15,3.27,4.24,0.69,3.55,0.83,1,1.94,0.11,0,3.86,0,0.47,0.19,0.02,0,0.01,0,0,0,0,0.12,0,0.29,0,0,0,0,0.09,0,0.13,0,0,0,0,0,0,0.16
2014-02,52.83,22.97,4.46,3.6,3.08,0.83,3.33,0.82,0.99,2.1,0.33,0.04,3.01,0,0.46,0.38,0.04,0,0.01,0.01,0,0,0,0.1,0,0.26,0,0,0,0,0.08,0,0.11,0,0,0,0.01,0,0,0.15
2014-03,52.99,23.6,4.54,3.82,2.72,0.86,3.13,0.84,0.92,2.6,0.45,0,1.94,0,0.42,0.45,0.03,0,0.01,0,0,0,0,0.1,0,0.23,0,0,0,0,0.07,0,0.1,0,0,0,0.02,0,0,0.13
2014-04,52.46,24.04,4.6,3.76,2.65,0.93,3.08,1,0.9,2.73,0.53,0.01,1.67,0,0.42,0.49,0.03,0,0.01,0,0,0,0,0.12,0,0.21,0,0,0,0,0.07,0,0.1,0,0,0,0.05,0,0,0.13
2014-05,51.12,25.33,4.71,3.72,2.6,0.93,3.06,1.05,0.88,2.82,0.55,0.01,1.6,0,0.41,0.51,0.04,0,0,0,0,0,0,0.13,0,0.19,0,0,0,0,0.07,0,0.09,0,0,0,0.05,0,0,0.13
2014-06,51.31,25.65,4.72,3.74,2.5,0.93,3.02,1,0.82,2.63,0.54,0,1.59,0,0.39,0.48,0.04,0,0.01,0,0,0,0,0.14,0,0.17,0,0,0,0,0.08,0,0.09,0,0,0,0.03,0,0,0.12
2014-07,51.47,25.81,4.78,3.68,2.47,0.96,2.98,0.87,0.73,2.62,0.52,0.01,1.54,0,0.37,0.5,0.05,0,0.01,0,0,0,0,0.15,0,0.15,0,0,0,0,0.08,0,0.09,0,0,0,0.03,0,0,0.11
2014-08,51.37,26.44,5.03,3.65,2.44,0.88,2.77,0.83,0.69,2.48,0.52,0.01,1.28,0,0.48,0.46,0.06,0,0.01,0,0,0,0,0.17,0,0.14,0,0,0,0,0.07,0,0.07,0,0,0,0.03,0,0,0.11
2014-09,53.3,25.97,4.97,3.59,2.18,0.82,2.61,0.75,0.58,2.14,0.47,0.01,1.16,0.01,0.45,0.4,0.06,0,0,0,0,0,0,0.15,0,0.13,0,0,0,0,0.06,0,0.05,0,0,0,0.02,0,0,0.09
2014-10,55.22,25.44,5.18,3.34,1.86,0.76,2.47,0.82,0.51,1.68,0.44,0.01,0.95,0.02,0.41,0.42,0.06,0,0,0,0,0,0,0.09,0,0.1,0,0,0,0,0.05,0,0.05,0,0,0,0.03,0,0,0.07
2014-11,51,27.75,5.98,3.51,2.17,0.78,2.63,0.97,0.58,1.54,0.47,0.02,1.06,0.04,0.52,0.44,0.08,0.01,0,0,0.01,0,0,0.05,0,0.11,0,0,0,0,0.06,0,0.08,0.01,0,0,0.04,0,0,0.08
2014-12,49.54,28.64,6.28,3.78,2.13,0.71,2.77,0.94,0.53,1.57,0.6,0.02,0.9,0.05,0.56,0.4,0.08,0.01,0,0.01,0.02,0,0,0.05,0,0.1,0,0,0,0.03,0.06,0,0.07,0.06,0,0,0.02,0,0,0.07
2015-01,51.38,26.67,6.34,3.57,1.9,0.74,2.75,0.94,0.51,1.71,0.81,0.02,0.82,0.07,0.57,0.44,0.09,0.01,0,0.01,0.03,0,0,0.06,0,0.09,0,0,0,0.16,0.07,0,0.07,0.08,0,0,0.02,0,0,0.07
2015-02,52.18,25.86,6.44,3.52,1.79,0.73,2.78,0.98,0.47,1.68,0.81,0.02,0.75,0.08,0.57,0.46,0.12,0.01,0.01,0.01,0.04,0,0,0.06,0,0.08,0,0,0,0.23,0.07,0,0.07,0.1,0,0,0.02,0,0,0.07
2015-03,52.59,25.64,6.41,3.48,1.85,0.76,2.82,1.02,0.42,1.58,0.77,0.03,0.72,0.09,0.56,0.46,0.1,0.01,0,0.02,0.04,0,0,0.07,0,0.07,0,0,0,0.18,0.06,0,0.07,0.1,0,0,0.02,0,0,0.07
2015-04,49.5,27.18,6.79,3.75,2.08,0.92,2.92,1.12,0.51,1.78,0.84,0.04,0.58,0.11,0.6,0.52,0.11,0.01,0,0.02,0.05,0,0,0.07,0,0.07,0,0,0,0.11,0.06,0,0.05,0.11,0,0,0.03,0,0,0.07
2015-05,48.64,27.5,6.84,3.75,2.16,1.03,2.95,1.2,0.53,1.74,0.95,0.11,0.47,0.12,0.62,0.58,0.14,0.05,0.01,0.03,0.05,0,0,0.07,0,0.06,0,0,0,0.11,0.06,0,0.04,0.11,0,0,0.02,0,0,0.07
2015-06,49.38,26.69,6.73,3.62,2.27,0.98,2.77,1.17,0.72,1.57,0.96,0.6,0.33,0.12,0.61,0.58,0.14,0.15,0.01,0.03,0.05,0,0,0.07,0,0.05,0,0,0,0.11,0.06,0,0.04,0.11,0,0,0.02,0,0,0.06
2015-07,50.68,25.91,6.44,3.57,2.48,1.13,2.62,1.13,0.73,1.51,0.91,0.41,0.38,0.11,0.57,0.56,0.15,0.16,0,0.03,0.04,0,0,0.07,0,0.05,0,0,0,0.1,0.06,0,0.04,0.11,0,0,0.02,0,0,0.06
2015-08,51.17,26.14,6.48,3.58,2.52,0.81,2.47,1.11,0.71,1.39,0.82,0.43,0.34,0.1,0.55,0.5,0.16,0.13,0,0.03,0.06,0,0,0.08,0,0.05,0,0,0,0.08,0.05,0,0.03,0.1,0,0,0.02,0,0,0.07
2015-09,50.37,27.34,6.85,3.68,2.48,0.77,2.5,1.15,0.49,1.38,0.79,0.05,0.3,0.11,0.55,0.45,0.15,0.02,0,0.03,0.07,0,0,0.08,0,0.04,0,0,0,0.07,0.05,0,0.03,0.1,0,0,0.02,0,0,0.07
2015-10,50.09,27.38,6.95,3.67,2.51,0.89,2.5,1.12,0.51,1.4,0.73,0.06,0.34,0.11,0.51,0.45,0.17,0.02,0,0.03,0.08,0,0,0.09,0,0.04,0,0,0,0.07,0.05,0,0.04,0.09,0,0,0.03,0,0,0.08
2015-11,51.64,26.83,6.76,3.57,2.62,0.81,2.42,1.02,0.45,1.23,0.63,0.05,0.28,0.1,0.46,0.39,0.17,0.02,0,0.02,0.08,0,0,0.08,0,0.04,0,0,0,0.07,0.05,0,0.03,0.08,0,0,0.02,0,0,0.07
2015-12,51.86,26.25,6.62,3.36,3.2,1.02,2.42,0.92,0.44,1.23,0.56,0.05,0.37,0.1,0.42,0.43,0.19,0.01,0,0.02,0.12,0,0,0.09,0,0.03,0,0,0,0.06,0.05,0,0.02,0.08,0,0,0.01,0,0,0.05
2016-01,52.9,26.14,6.42,3.27,3.48,0.86,2.25,0.83,0.47,0.98,0.49,0.09,0.24,0.09,0.37,0.34,0.19,0.05,0,0.02,0.13,0,0,0.1,0,0.03,0,0,0,0.06,0.05,0,0.02,0.07,0,0,0.01,0,0,0.05
2016-02,53.37,26.47,6.4,3.28,3.05,0.79,2.16,0.76,0.52,0.89,0.45,0.12,0.24,0.08,0.34,0.33,0.2,0.07,0,0.02,0.11,0,0,0.09,0,0.03,0,0,0,0.05,0.05,0,0.02,0.06,0,0,0.01,0,0,0.04
2016-03,52.16,27.54,7.01,3.43,2.19,0.81,2.02,0.94,0.66,0.75,0.58,0.2,0.21,0.08,0.31,0.33,0.21,0.1,0,0.02,0.11,0,0,0.08,0,0.03,0,0,0,0.05,0.05,0,0.02,0.05,0,0,0.02,0,0,0.05
2016-04,52.42,27.39,7,3.34,2.46,0.89,1.95,0.9,0.62,0.69,0.57,0.11,0.22,0.08,0.29,0.34,0.23,0.03,0,0.02,0.1,0,0,0.08,0,0.02,0,0,0,0.05,0.05,0,0.02,0.05,0,0,0.02,0,0,0.06
2016-05,52.78,26.95,6.93,3.24,2.76,0.9,1.91,0.86,0.66,0.67,0.57,0.08,0.24,0.08,0.26,0.34,0.26,0.03,0,0.02,0.11,0,0,0.08,0,0.02,0,0,0,0.04,0.05,0,0.02,0.04,0,0,0.02,0,0,0.06
