Year,Region,CR8
2014,Africa,95.89583333333333
2014,Asia,92.2725
2014,China,88.43166666666667
2014,Europe,94.21833333333335
2014,India,96.54249999999999
2014,North America,94.12416666666667
2014,South America,96.55749999999999
2014,US,95.48666666666668
2014,Worldwide,90.80250000000001
2015,Africa,93.3775
2015,Asia,85.19500000000001
2015,China,88.405
2015,Europe,91.48166666666667
2015,India,92.32666666666667
2015,North America,93.23
2015,South America,94.98083333333332
2015,US,95.20833333333334
2015,Worldwide,85.98916666666666
2016,Africa,91.69833333333332
2016,Asia,82.8
2016,China,90.54666666666667
2016,Europe,91.06166666666667
2016,India,88.56666666666666
2016,North America,93.99916666666667
2016,South America,94.69583333333334
2016,US,96.44416666666667
2016,Worldwide,84.62916666666666
2017,Africa,83.1225
2017,Asia,75.07416666666666
2017,China,91.23750000000001
2017,Europe,89.57666666666667
2017,India,76.23833333333334
2017,North America,93.97916666666667
2017,South America,92.37083333333332
2017,US,96.03666666666666
2017,Worldwide,77.6425
2018,Africa,82.92083333333333
2018,Asia,79.91583333333332
2018,China,93.285
2018,Europe,90.52833333333334
2018,India,77.735
2018,North America,94.5
2018,South America,93.51416666666667
2018,US,96.02666666666667
2018,Worldwide,80.90166666666667
2019,Africa,85.97166666666668
2019,Asia,84.52583333333334
2019,China,88.78916666666666
2019,Europe,92.24083333333333
2019,India,80.91
2019,North America,95.42833333333333
2019,South America,95.3275
2019,US,96.33583333333334
2019,Worldwide,85.36666666666666
2020,Africa,88.64500000000001
2020,Asia,87.20666666666668
2020,China,91.535
2020,Europe,93.35416666666666
2020,India,83.43
2020,North America,96.46
2020,South America,96.82833333333332
2020,US,97.28083333333333
2020,Worldwide,87.69083333333333
2021,Africa,90.03333333333333
2021,Asia,90.93083333333334
2021,China,96.13250000000001
2021,Europe,93.98666666666666
2021,India,89.33833333333332
2021,North America,96.78166666666667
2021,South America,97.28333333333333
2021,US,97.16749999999999
2021,Worldwide,89.05166666666666
2022,Africa,90.05083333333334
2022,Asia,92.2125
2022,China,96.03083333333333
2022,Europe,93.82833333333332
2022,India,92.06833333333334
2022,North America,96.71999999999998
2022,South America,96.50583333333334
2022,US,97.6925
2022,Worldwide,89.81833333333334
2023,Africa,89.18083333333334
2023,Asia,92.51249999999999
2023,China,95.4825
2023,Europe,93.96833333333333
2023,India,92.80333333333334
2023,North America,96.51166666666667
2023,South America,96.11833333333333
2023,US,97.45750000000001
2023,Worldwide,90.41499999999999
2024,Africa,86.7425
2024,Asia,90.48083333333332
2024,China,0.0
2024,Europe,93.065
2024,India,0.0
2024,North America,96.13166666666667
2024,South America,95.235
2024,US,0.0
2024,Worldwide,0.0
